1.886336653695292187e-01,1.785592319507829095e-01,1.919146450257328829e-01,1.709527254734524437e-01,1.825006550208908840e-01
1.773695848929139895e-01,1.713615473252680932e-01,1.775900670562306494e-01,1.830942166000501525e-01,1.818612834101157871e-01
1.714007363763548897e-01,1.879455705184746306e-01,1.868777149419879324e-01,1.696672656476309882e-01,1.950400331067239368e-01
2.013258567616665606e-01,1.900630982488994702e-01,1.797427540403744028e-01,1.736274055536340399e-01,1.900330538735654495e-01
1.826656873354138566e-01,1.947310304133071657e-01,1.879348678015487772e-01,1.984790417918168015e-01,1.873129048360812343e-01
1.889125492925015637e-01,1.778724127507907982e-01,1.988831053570647156e-01,1.850780427302277931e-01,1.829968906497271008e-01
2.028743509630370201e-01,1.664253155337126200e-01,1.705013264334854228e-01,1.957257964642063752e-01,1.693993095424019546e-01
2.043340349727823246e-01,1.766167391528921660e-01,1.765882591532942081e-01,2.061214952395115096e-01,1.967870394722924798e-01
2.020218079200756800e-01,1.882949580357547448e-01,1.739052213509011124e-01,2.044246855732044232e-01,1.777736479213356535e-01
1.920753690800369728e-01,1.893944264202830907e-01,1.816683197617309231e-01,1.921774898646304020e-01,1.903682346421088911e-01
