Iteration,w1,w2,x1,x2,b,Error,GradientError_w1,GradientError_w2,GradientError_b,LearningRate
1,0.4999907239074418,0.19997217172232545,0.1,0.3,1.8299072390744182,0.3564652711035652,0.00927609255818386,0.02782827767455158,0.0927609255818386,0.001
2,0.4999814472293808,0.19994434168814254,0.1,0.3,1.8298144722938086,0.35645580575660446,0.009276678060971431,0.027830034182914295,0.09276678060971431,0.001
3,0.49997124223941486,0.1999137267182447,0.1,0.3,1.8297124223941492,0.3564463392147068,0.009277263605402666,0.027831790816208,0.09277263605402666,0.0011
4,0.49996001597103695,0.19988004791311098,0.1,0.3,1.8296001597103702,0.3564359246711447,0.009277907750339291,0.027833723251017874,0.09277907750339291,0.0012100000000000001
5,0.49994766613265446,0.19984299839796354,0.1,0.3,1.8294766613265454,0.35642446704255165,0.00927861636550009,0.027835849096500272,0.0927861636550009,0.0013310000000000002
6,0.4999340801691032,0.1998022405073098,0.1,0.3,1.8293408016910329,0.35641186167767624,0.009279395909604441,0.02783818772881332,0.0927939590960444,0.0014641000000000003
7,0.4999191342280555,0.19975740268416672,0.1,0.3,1.829191342280556,0.35639799338806316,0.009280253489697887,0.027840760469093655,0.09280253489697886,0.0016105100000000005
8,0.4999026920215472,0.1997080760646418,0.1,0.3,1.8290269202154728,0.3563827353791623,0.009281196926499436,0.027843590779498304,0.09281196926499435,0.0017715610000000007
9,0.4998846035718148,0.19965381071544458,0.1,0.3,1.8288460357181486,0.3563659480713534,0.009282234826391374,0.02784670447917412,0.09282234826391374,0.0019487171000000009
10,0.49986470382948583,0.19959411148845765,0.1,0.3,1.828647038294859,0.35634747779919884,0.009283376660738557,0.02785012998221567,0.09283376660738557,0.002143588810000001
11,0.49984281115088763,0.199528433452663,0.1,0.3,1.8284281115088767,0.3563271553759337,0.00928463285329727,0.02785389855989181,0.0928463285329727,0.0023579476910000016
12,0.4998187256198172,0.19945617685945166,0.1,0.3,1.8281872561981722,0.3563047945087228,0.009286014876555622,0.027858044629666866,0.09286014876555622,0.002593742460100002
13,0.4997922271975289,0.1993766815925867,0.1,0.3,1.827922271975289,0.3562801900485602,0.009287535357938517,0.027862606073815552,0.09287535357938517,0.0028531167061100022
14,0.49976307368292644,0.19928922104877933,0.1,0.3,1.8276307368292644,0.356253116056819,0.009289208196911737,0.02786762459073521,0.09289208196911737,0.003138428376721003
15,0.49973099846296815,0.19919299538890448,0.1,0.3,1.8273099846296816,0.3562233236683485,0.009291048694133264,0.02787314608239979,0.09291048694133264,0.0034522712143931033
16,0.4996957080310807,0.1990871240932421,0.1,0.3,1.826957080310807,0.3561905387286314,0.009293073693926877,0.027879221081780627,0.09293073693926876,0.003797498335832414
17,0.4996568792488969,0.19897063774669063,0.1,0.3,1.8265687924889689,0.35615445917980637,0.009295301741494953,0.02788590522448486,0.09295301741494953,0.004177248169415656
18,0.4996141563238497,0.19884246897154906,0.1,0.3,1.826141563238497,0.3561147521672886,0.009297753256447102,0.027893259769341303,0.09297753256447101,0.004594972986357222
19,0.4995671474720262,0.1987014424160785,0.1,0.3,1.8256714747202618,0.35607105083521784,0.00930045072439968,0.027901352173199032,0.09300450724399678,0.005054470284992944
20,0.4995154212321616,0.19854626369648468,0.1,0.3,1.8251542123216158,0.3560229507749659,0.009303418908602786,0.027910256725808356,0.09303418908602785,0.005559917313492239
21,0.4994585023926802,0.1983755071780406,0.1,0.3,1.8245850239268022,0.3559700060863648,0.009306685083777378,0.02792005525133213,0.09306685083777377,0.006115909044841464
22,0.49939586748919756,0.19818760246759268,0.1,0.3,1.8239586748919758,0.3559117250060605,0.009310279294601027,0.027930837883803083,0.09310279294601027,0.006727499949325611
23,0.49932693982481047,0.19798081947443144,0.1,0.3,1.823269398248105,0.3558475650513691,0.009314234641568669,0.02794270392470601,0.0931423464156867,0.007400249944258173
24,0.4992510839597284,0.1977532518791852,0.1,0.3,1.8225108395972842,0.35577692762103524,0.009318587597281837,0.02795576279184551,0.09318587597281837,0.008140274938683991
25,0.4991675996102304,0.19750279883069116,0.1,0.3,1.8216759961023041,0.3556991519862465,0.009323378356588917,0.027970135069766745,0.09323378356588916,0.00895430243255239
26,0.499075714889444,0.19722714466833205,0.1,0.3,1.8207571488944403,0.3556135085959029,0.009328651224419055,0.027985953673257163,0.09328651224419054,0.00984973267580763
27,0.49898237033898774,0.19694711101696316,0.1,0.3,1.8198237033898774,0.3555191916092667,0.00933445504562938,0.028003365136888142,0.0933445504562938,0.01
28,0.4988889668241468,0.1966669004724403,0.1,0.3,1.818889668241468,0.35542331608149547,0.009340351484096,0.028021054452287995,0.09340351484095999,0.01
29,0.4987955043036193,0.19638651291085776,0.1,0.3,1.8179550430361928,0.3553273193870471,0.009346252052750621,0.028038756158251864,0.09346252052750621,0.01
30,0.4987019827361347,0.19610594820840396,0.1,0.3,1.8170198273613467,0.35523120136448383,0.009352156748460148,0.028056470245380445,0.09352156748460148,0.01
31,0.49860840208045415,0.1958252062413623,0.1,0.3,1.8160840208045412,0.3551349618522721,0.009358065568055367,0.0280741967041661,0.09358065568055367,0.01
32,0.49851476229537084,0.19554428688611236,0.1,0.3,1.8151476229537082,0.35503860068878257,0.009363978508330822,0.02809193552499246,0.09363978508330821,0.01
33,0.49842106333971037,0.19526319001913103,0.1,0.3,1.8142106333971038,0.3549421177122914,0.00936989556604466,0.02810968669813398,0.0936989556604466,0.01
34,0.4983273051723312,0.19498191551699348,0.1,0.3,1.813273051723312,0.3548455127609813,0.00937581673791842,0.028127450213755255,0.09375816737918419,0.01
35,0.49823348775212484,0.19470046325637438,0.1,0.3,1.8123348775212482,0.35474878567294166,0.00938174202063694,0.028145226061910816,0.09381742020636939,0.01
36,0.49813961103801635,0.19441883311404895,0.1,0.3,1.8113961103801635,0.35465193628617003,0.009387671410848154,0.028163014232544463,0.09387671410848154,0.01
37,0.49804567498896474,0.19413702496689406,0.1,0.3,1.810456749889647,0.354554964438572,0.009393604905162981,0.02818081471548894,0.0939360490516298,0.01
38,0.4979516795639632,0.19385503869188941,0.1,0.3,1.8095167956396316,0.35445786996796347,0.00939954250015508,0.028198627500465243,0.09399542500155081,0.01
39,0.4978576247220396,0.1935728741661186,0.1,0.3,1.8085762472203954,0.3543606527120701,0.009405484192360793,0.02821645257708237,0.09405484192360791,0.01
40,0.4977635104222568,0.19329053126677023,0.1,0.3,1.8076351042225676,0.354263312508529,0.009411429978278887,0.028234289934836655,0.09411429978278886,0.01
41,0.4976693366237131,0.1930080098711391,0.1,0.3,1.8066933662371305,0.35416584919488925,0.009417379854370467,0.028252139563111393,0.09417379854370465,0.01
42,0.4975751032855425,0.19272530985662736,0.1,0.3,1.8057510328554247,0.3540682626086129,0.009423333817058758,0.02827000145117627,0.09423333817058757,0.01
43,0.4974808103669152,0.1924424311007455,0.1,0.3,1.804808103669152,0.3539705525870755,0.009429291862728994,0.02828787558818698,0.09429291862728993,0.01
44,0.49738645782703794,0.19215937348111364,0.1,0.3,1.803864578270379,0.35387271896756745,0.009435253987728216,0.02830576196318465,0.09435253987728216,0.01
45,0.4972920456251543,0.19187613687546268,0.1,0.3,1.8029204562515426,0.35377476158729476,0.009441220188365108,0.028323660565095325,0.09441220188365108,0.01
46,0.4971975737205452,0.1915927211616354,0.1,0.3,1.8019757372054517,0.3536766802833795,0.009447190460909872,0.02834157138272961,0.09447190460909871,0.01
47,0.49710304207252926,0.19130912621758758,0.1,0.3,1.8010304207252923,0.35357847489286104,0.00945316480159402,0.02835949440478206,0.0945316480159402,0.01
48,0.4970084506404632,0.19102535192138928,0.1,0.3,1.8000845064046314,0.3534801452526971,0.009459143206610227,0.02837742961983068,0.09459143206610227,0.01
49,0.496913799383742,0.19074139815122593,0.1,0.3,1.7991379938374201,0.35338169119976437,0.009465125672112171,0.02839537701633651,0.09465125672112171,0.01
50,0.4968190882617999,0.19045726478539948,0.1,0.3,1.7981908826179986,0.3532831125708592,0.009471112194214374,0.02841333658264312,0.09471112194214373,0.01
51,0.49672431723411,0.19017295170232973,0.1,0.3,1.7972431723410995,0.35318440920269933,0.009477102768991996,0.02843130830697598,0.09477102768991995,0.01
52,0.49662948626018516,0.1898884587805553,0.1,0.3,1.7962948626018516,0.3530855809319238,0.009483097392480712,0.028449292177442135,0.09483097392480712,0.01
53,0.4965345952995784,0.189603785898735,0.1,0.3,1.7953459529957838,0.35298662759509475,0.009489096060676525,0.028467288182029572,0.09489096060676525,0.01
54,0.49643964431188303,0.18931893293564894,0.1,0.3,1.7943964431188302,0.3528875490286976,0.00949509876953561,0.028485296308606828,0.09495098769535609,0.01
55,0.4963446332567333,0.18903389977019971,0.1,0.3,1.7934463325673327,0.35278834506914264,0.009501105514974118,0.02850331654492235,0.09501105514974117,0.01
56,0.4962495620938046,0.18874868628141367,0.1,0.3,1.7924956209380458,0.3526890155527655,0.009507116292868047,0.02852134887860414,0.09507116292868047,0.01
57,0.49615443078281407,0.18846329234844209,0.1,0.3,1.7915443078281406,0.3525895603158284,0.009513131099053043,0.028539393297159123,0.09513131099053042,0.01
58,0.4960592392835208,0.18817771785056236,0.1,0.3,1.790592392835208,0.3524899791945206,0.009519149929324252,0.02855744978797275,0.09519149929324251,0.01
59,0.49596398755572646,0.18789196266717928,0.1,0.3,1.7896398755572644,0.3523902720249605,0.009525172779436115,0.02857551833830834,0.09525172779436114,0.01
60,0.49586867555927544,0.18760602667782622,0.1,0.3,1.7886867555927541,0.3522904386431951,0.009531199645102247,0.02859359893530674,0.09531199645102247,0.01
61,0.4957733032540555,0.18731990976216636,0.1,0.3,1.7877330325405547,0.35219047888520205,0.009537230521995232,0.02861169156598569,0.09537230521995231,0.01
62,0.495677870599998,0.18703361179999398,0.1,0.3,1.78677870599998,0.3520903925868905,0.009543265405746452,0.02862979621723935,0.09543265405746451,0.01
63,0.49558237755707857,0.1867471326712356,0.1,0.3,1.7858237755707853,0.35199017958410156,0.009549304291945941,0.028647912875837823,0.09549304291945941,0.01
64,0.49548682408531713,0.18646047225595133,0.1,0.3,1.784868240853171,0.35188983971260984,0.00955534717614218,0.028666041528426535,0.09555347176142179,0.01
65,0.4953912101447787,0.18617363043433607,0.1,0.3,1.7839121014477868,0.35178937280812417,0.009561394053841947,0.02868418216152584,0.09561394053841947,0.01
66,0.4952955356955736,0.18588660708672078,0.1,0.3,1.7829553569557357,0.35168877870628884,0.00956744492051014,0.028702334761530415,0.09567444920510139,0.01
67,0.4951998006978579,0.1855994020935737,0.1,0.3,1.7819980069785788,0.35158805724268427,0.009573499771569594,0.02872049931470878,0.09573499771569594,0.01
68,0.4951040051118339,0.18531201533550168,0.1,0.3,1.7810400511183386,0.3514872082528284,0.009579558602400916,0.02873867580720274,0.09579558602400914,0.01
69,0.49500814889775047,0.1850244466932514,0.1,0.3,1.7800814889775043,0.3513862315721775,0.009585621408342309,0.028756864225026924,0.09585621408342308,0.01
70,0.49491223201590356,0.18473669604771073,0.1,0.3,1.7791223201590354,0.35128512703612713,0.00959168818468941,0.028775064554068225,0.09591688184689409,0.01
71,0.4948162544266366,0.1844487632799099,0.1,0.3,1.7781625442663658,0.3511838944800138,0.009597758926695062,0.028793276780085184,0.09597758926695062,0.01
72,0.49472021609034095,0.1841606482710228,0.1,0.3,1.7772021609034088,0.35108253373911474,0.009603833629569236,0.02881150088870771,0.09603833629569236,0.01
73,0.4946241169674562,0.18387235090236845,0.1,0.3,1.7762411696745608,0.35098104464865054,0.00960991228847874,0.02882973686543622,0.0960991228847874,0.01
74,0.4945279570184707,0.18358387105541205,0.1,0.3,1.7752795701847062,0.350879427043785,0.009615994898547137,0.02884798469564141,0.09615994898547137,0.01
75,0.49443173620392217,0.1832952086117664,0.1,0.3,1.7743173620392207,0.35077768075962684,0.009622081454854506,0.028866244364563517,0.09622081454854506,0.01
76,0.4943354544843978,0.1830063634531933,0.1,0.3,1.773354544843977,0.3506758056312304,0.009628171952437307,0.028884515857311922,0.09628171952437307,0.01
77,0.4942391118205349,0.18271733546160465,0.1,0.3,1.772391118205348,0.35057380149359696,0.009634266386288176,0.028902799158864522,0.09634266386288175,0.01
